libro1.txt libro2.txt libro3.txt libro4.txt libro5.txt libro6.txt 
logr 1 1 0 0 1 1 
huir. 0 0 0 0 0 1 
tras 1 1 1 1 1 1 
dias 0 0 0 0 0 0 
march 0 0 0 1 0 1 
hab 1 1 1 1 1 1 
deshech 0 0 0 0 0 1 
pes 0 1 0 0 1 1 
inutil, 0 0 0 0 0 0 
lleg 1 1 1 1 1 1 
pies 0 1 0 0 0 1 
mont 1 1 0 1 1 1 
destino. 1 0 0 0 0 0 
al 1 1 1 1 1 1 
bord 0 0 0 0 0 1 
agotamiento, 0 0 0 0 0 1 
sam 0 0 1 0 0 0 
comienz 1 0 0 1 1 1 
trep 0 0 0 0 0 1 
montañ 0 1 0 0 0 1 
carg 0 1 0 0 1 1 
cuerp 0 0 0 1 1 1 
exanim 0 0 0 0 0 0 
amo, 0 0 0 0 0 1 
agot 0 0 0 0 0 1 
produc 1 0 1 0 0 1 
anillo. 0 0 0 0 0 0 
pas 1 1 1 1 1 1 
mit 0 0 1 1 1 1 
sendero, 0 0 0 0 0 1 
atac 1 1 0 1 1 1 
gollum 0 0 0 0 0 0 
sam 0 0 1 0 0 0 
carg 0 1 0 0 1 1 
el, 1 1 0 0 0 1 
frod 0 0 0 0 0 0 
continu 0 0 0 1 0 1 
ascendiendo; 0 0 0 0 0 1 
sam 0 0 1 0 0 0 
incapaz 0 0 0 0 0 1 
mat 0 0 0 0 1 1 
criatur 1 0 0 1 0 1 
dej 1 0 1 1 0 1 
march 0 0 0 1 0 1 
cuest 0 0 0 0 0 1 
abajo. 0 0 0 0 0 1 
sam 0 0 1 0 0 0 
busc 1 1 0 1 1 1 
frod 0 0 0 0 0 0 
lleg 1 1 1 1 1 1 
sammath 0 0 0 0 0 0 
naur, 0 0 0 0 0 0 
bord 0 0 0 0 0 1 
griet 0 0 0 0 0 1 
destino. 1 0 0 0 0 0 
sin 1 1 1 1 0 1 
embargo, 1 1 0 1 0 1 
anill 1 0 0 0 0 0 
termin 1 0 0 0 1 1 
apoder 0 0 0 0 0 1 
volunt 0 0 1 0 0 1 
frod 0 0 0 0 0 0 
y, 1 1 0 1 1 1 
neg 1 1 0 0 1 1 
arroj 0 1 1 0 0 1 
lava, 0 0 0 0 0 1 
pone. 0 0 0 0 0 1 
en 1 1 1 1 1 1 
reaparec 0 0 0 0 0 1 
gollum, 0 0 0 0 0 0 
dej 1 0 1 1 0 1 
medi 0 0 1 0 0 1 
inconscient 0 0 0 0 0 1 
sam 0 0 1 0 0 0 
luch 0 0 0 1 1 1 
invis 0 0 0 0 0 1 
frodo, 0 0 0 0 0 0 
arranc 0 0 0 0 0 1 
mordisc 0 0 0 0 0 1 
ded 0 0 0 0 0 1 
anul 0 0 0 0 0 1 
mano, 0 0 0 0 0 1 
anill 1 0 0 0 0 0 
el. 1 0 0 0 0 0 
tal 1 0 1 0 1 1 
alegr 0 0 0 0 0 1 
gollum 0 0 0 0 0 0 
recuper 0 0 0 0 0 1 
tesor 0 0 0 0 0 1 
que, 0 0 0 0 1 1 
dars 0 0 0 0 0 1 
cuenta, 0 0 0 0 0 1 
cae 0 0 0 0 0 1 
grieta, 0 0 0 0 0 1 
mur 0 0 0 0 0 1 
destruyendos 0 0 0 0 0 0 
anillo. 0 0 0 0 0 0 
sauron 0 0 0 0 0 0 
derrot 0 1 1 0 0 1 
fin, 0 0 0 0 0 1 
obras, 0 0 0 0 0 1 
orodruin 0 0 0 0 0 0 
estall 0 0 0 0 0 1 
llamas, 0 0 0 0 0 1 
consum 0 0 0 0 0 1 
air 0 0 0 0 0 1 
nazgûl, 0 0 0 0 0 0 
moment 0 0 1 0 1 1 
dirig 0 0 1 0 1 1 
alli 0 0 0 0 0 0 
anillo. 0 0 0 0 0 0 
mientr 0 1 1 1 1 1 
tanto, 0 0 0 1 1 1 
puert 0 1 0 0 1 0 
negra, 0 0 0 0 0 0 
guerrer 0 0 0 0 0 1 
roh 0 0 0 0 1 0 
gondor 0 0 0 0 0 0 
aprovech 0 0 1 0 0 1 
desconciert 0 0 0 0 0 1 
enemig 0 1 0 1 1 1 
contraatac 0 0 0 0 0 1 
derrotan. 0 0 0 0 0 1 
dias 0 0 0 0 0 0 
despues, 0 0 0 0 0 0 
sam 0 0 1 0 0 0 
frod 0 0 0 0 0 0 
despiert 0 0 0 0 0 1 
ithilien. 0 0 0 0 0 0 
hab 1 1 1 1 1 1 
rescat 0 0 1 1 1 1 
lader 0 0 0 1 0 1 
orodruin 0 0 0 0 0 0 
gwaih 0 0 0 0 0 0 
aguil 0 0 0 0 0 0 
conduc 0 0 0 0 0 1 
gandalf 0 0 0 0 0 0 
lugar. 0 0 0 0 0 1 
tras 1 1 1 1 1 1 
recuper 0 0 0 0 0 1 
fisicamente, 0 0 0 0 0 0 
dirig 0 0 1 0 1 1 
min 1 1 1 1 1 1 
tirith, 0 0 0 0 0 0 
asist 0 0 0 0 0 1 
her 1 1 0 1 1 1 
coron 0 0 0 0 0 1 
aragorn 0 0 0 0 0 0 
union 0 0 0 0 0 0 
arwen, 0 0 0 0 0 0 
hij 0 0 0 0 1 1 
elrond. 0 0 0 0 0 0 
eom 0 0 0 0 0 0 
convirt 0 0 0 0 0 1 
rey 0 0 0 0 1 1 
rohan, 0 0 0 0 0 0 
herman 0 1 0 0 1 1 
eowyn 0 0 0 0 0 0 
cas 1 1 1 0 1 1 
faramir, 0 0 0 0 0 0 
nombr 0 0 0 0 0 1 
senescal. 0 0 0 0 0 1 
tras 1 1 1 1 1 1 
acud 1 1 0 0 1 1 
funeral 0 0 0 0 0 1 
rey 0 0 0 0 1 1 
theod 0 0 0 0 0 0 
edoras, 0 0 0 0 0 0 
miembr 0 1 0 0 0 1 
compañ 1 1 0 0 1 1 
pus 1 1 0 0 1 1 
rumb 0 0 0 0 0 1 
rivendel, 0 0 0 0 0 0 
viaj 1 1 0 1 1 1 
tom 0 0 1 1 1 1 
distint 0 1 0 0 0 1 
caminos. 0 0 0 0 0 1 
en 1 1 1 1 1 1 
pas 1 1 1 1 1 1 
orthanc, 0 0 0 0 0 0 
barbol 0 0 0 0 0 0 
dej 1 0 1 1 0 1 
escap 1 1 1 1 0 1 
saruman, 0 0 0 0 0 0 
tard 0 1 1 0 0 1 
encontr 1 1 1 0 1 1 
tierr 0 0 0 0 0 0 
brun 0 0 0 0 0 0 
lengu 0 0 0 0 0 0 
serpiente, 0 0 0 0 0 0 
neg 1 1 0 0 1 1 
recib 0 0 1 0 1 1 
ayuda. 0 0 0 0 0 1 
una 1 1 1 1 1 1 
rivendel, 0 0 0 0 0 0 
frod 0 0 0 0 0 0 
reencontr 0 0 1 0 0 1 
bilb 0 0 0 0 0 0 
entreg 0 0 0 0 0 1 
libr 0 1 1 1 1 0 
roj 0 1 1 0 1 1 
fronter 0 0 0 0 0 0 
oest 0 0 0 0 0 0 
continu 0 0 0 1 0 1 
escrib 0 0 0 0 0 1 
aventuras. 0 0 0 0 0 1 
un 1 1 1 1 1 1 
mes 0 1 0 0 0 1 
tarde, 0 0 1 0 0 1 
hobbits 1 1 1 1 0 1 
gandalf, 0 0 0 0 0 0 
inici 0 1 0 0 1 1 
camin 1 1 0 1 1 1 
regres 1 1 0 0 1 1 
comarc 0 0 0 0 0 0 
mag 1 1 1 0 0 1 
acompañ 1 1 0 0 1 1 
bosqu 0 1 1 0 1 0 
viej 0 0 0 0 0 0 
march 0 0 0 1 0 1 
visit 0 0 0 0 1 1 
tom 0 0 1 1 1 1 
bombadil. 0 0 0 0 0 0 
al 1 1 1 1 1 1 
lleg 1 1 1 1 1 1 
comarca, 0 0 0 0 0 0 
hobbits 1 1 1 1 0 1 
encontr 1 1 1 0 1 1 
tom 0 0 1 1 1 1 
dunlendin 0 0 0 0 0 1 
segu 1 1 1 0 0 1 
orden 1 1 0 0 0 0 
saruman. 0 0 0 0 0 0 
sin 1 1 1 1 0 1 
embargo, 1 1 0 1 0 1 
frodo, 0 0 0 0 0 0 
sam, 0 0 0 0 0 0 
merry 0 0 0 0 0 0 
pippin, 0 0 0 0 0 0 
ayud 1 0 1 0 1 1 
hobbits, 0 0 0 0 0 1 
acab 1 0 0 1 1 1 
derrot 0 1 1 0 0 1 
invasor 0 0 0 0 0 1 
conoc 0 0 0 0 1 1 
batall 0 0 1 0 1 0 
delagua. 0 0 0 0 0 0 
en 1 1 1 1 1 1 
hobbiton 0 0 0 0 0 0 
encuentr 1 0 1 1 1 1 
sarum 0 0 0 0 0 0 
grima, 0 0 0 0 0 0 
cans 0 1 1 0 0 1 
humill 0 0 0 0 0 1 
muerte, 0 0 0 1 0 1 
muert 0 1 0 1 1 1 
flechaz 0 0 0 0 0 1 
hobbits. 1 0 1 1 0 1 
tras 1 1 1 1 1 1 
ello, 0 0 1 0 0 1 
comienz 1 0 0 1 1 1 
llam 1 1 0 0 1 1 
saneamient 0 0 0 0 0 0 
comarca, 0 0 0 0 0 0 
reconstruccion 0 0 0 0 0 0 
comarca. 0 0 0 0 0 0 
un 1 1 1 1 1 1 
año 1 0 0 0 1 1 
previst 0 0 0 0 0 1 
rivendel, 0 0 0 0 0 0 
frodo, 0 0 0 0 0 0 
acompañ 1 1 0 0 1 1 
sam, 0 0 0 0 0 0 
bosqu 0 1 1 0 1 0 
cerr 0 1 1 0 0 0 
gandalf, 0 0 0 0 0 0 
elrond, 0 0 0 0 0 0 
galadriel, 0 0 0 0 0 0 
bilb 0 0 0 0 0 0 
comit 0 0 1 0 0 1 
elfos 0 1 0 0 0 1 
junt 1 1 0 0 1 1 
viaj 1 1 0 1 1 1 
puert 0 1 0 0 1 0 
grises. 0 0 0 0 0 0 
alli, 0 0 0 0 0 0 
esper 0 1 0 0 1 1 
cirdan, 0 0 0 0 0 0 
merry 0 0 0 0 0 0 
pippin 0 0 0 0 0 0 
dolor 0 0 0 0 0 1 
despedida, 0 0 0 0 0 1 
frodo, 0 0 0 0 0 0 
bilbo, 0 0 0 0 0 0 
elrond, 0 0 0 0 0 0 
gandalf, 0 0 0 0 0 0 
galadriel 0 0 0 0 0 0 
elfos 0 1 0 0 0 1 
part 1 1 1 1 1 1 
barc 0 1 0 0 1 1 
tierr 0 0 0 0 0 0 
imperecederas. 0 0 0 0 0 0 
