libro1.txt libro2.txt libro3.txt libro4.txt libro5.txt libro6.txt 
orcos. 0 1 0 0 1 0 
entonc 1 0 1 0 1 1 
comenz 0 1 0 0 1 0 
oirs 0 0 0 0 0 0 
tambor 0 1 0 0 0 0 
aparec 1 1 0 1 0 1 
numer 0 1 0 0 0 0 
orcos. 0 1 0 0 1 0 
tras 1 1 1 1 1 1 
derrot 0 1 1 0 0 1 
cuantos, 0 1 0 0 0 0 
comun 0 0 1 0 0 0 
logr 1 1 0 0 1 1 
escap 1 1 1 1 0 1 
lleg 1 1 1 1 1 1 
puent 0 1 0 0 0 0 
khaz 0 0 0 0 0 0 
dûm. 0 0 0 0 0 0 
alli 0 0 0 0 0 0 
enemig 0 1 0 1 1 1 
poder 1 1 0 0 0 1 
aparecio, 0 0 0 0 0 0 
balrog, 0 1 0 0 0 0 
gandalf 0 0 0 0 0 0 
enfrent 0 1 0 0 1 0 
logr 1 1 0 0 1 1 
arroj 0 1 1 0 0 1 
puente; 0 1 0 0 0 0 
embargo, 1 1 0 1 0 1 
caia, 0 0 0 0 0 0 
balrog 0 1 0 0 0 0 
cog 0 1 0 0 0 0 
mag 1 1 1 0 0 1 
latig 0 0 0 0 0 0 
arrastr 1 1 0 0 0 0 
abismo. 0 1 0 0 0 0 
apen 0 0 0 0 0 0 
muert 0 1 0 1 1 1 
gandalf, 0 0 0 0 0 0 
miembr 0 1 0 0 0 1 
comun 0 0 1 0 0 0 
lleg 1 1 1 1 1 1 
bosqu 0 1 1 0 1 0 
lothlorien, 0 0 0 0 0 0 
elfo 1 1 0 0 0 1 
hald 0 0 0 0 0 0 
herman 0 1 0 0 1 1 
cobij 0 1 0 0 0 0 
condujeron 0 1 0 0 0 0 
celeborn 0 0 0 0 0 0 
galadriel, 0 0 0 0 0 0 
señor 0 1 0 0 0 0 
bosque. 0 1 0 0 0 0 
tras 1 1 1 1 1 1 
pas 1 1 1 1 1 1 
mes 0 1 0 0 0 1 
descans 0 1 0 0 0 0 
alli, 0 0 0 0 0 0 
comun 0 0 1 0 0 0 
part 1 1 1 1 1 1 
barc 0 1 0 0 1 1 
elfic 0 0 0 0 0 0 
sigu 1 1 1 1 1 0 
curs 1 1 0 0 0 0 
rio 1 0 1 1 1 0 
